merchant_id,month,merchant_industry,merchant_governorate,subscription_plan,acquisition_channel,customer_acquisition_cost,mrr,new_mrr,expansion_mrr,churned_mrr,active_status,total_payment_volume,transaction_count
M10000,2024-02-01,F&B,Irbid,Basic,Sales Agent,55.7,35.69,35.69,0.0,0.0,True,14140.97,1039
M10000,2024-03-01,F&B,Irbid,Basic,Sales Agent,55.7,106.95,0.0,71.26,0.0,True,7556.17,875
M10000,2024-04-01,F&B,Irbid,Basic,Sales Agent,55.7,106.95,0.0,0.0,0.0,True,9813.53,897
M10000,2024-05-01,F&B,Irbid,Basic,Sales Agent,55.7,106.95,0.0,0.0,0.0,True,3196.75,853
M10000,2024-06-01,F&B,Zaqra,Basic,Sales Agent,55.7,106.95,0.0,0.0,0.0,True,3905.07,824
M10000,2024-07-01,F&B,Irbid,Basic,Sales Agent,55.7,0.0,0.0,0.0,106.95,False,0.0,0
M10001,2024-02-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,39.95,39.95,0.0,0.0,True,2349.51,403
M10001,2024-03-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,100.29,0.0,60.34,0.0,True,2630.19,223
M10001,2024-04-01,Pharmacy,Zaqra,Basic,Sales Agent,54.82,100.29,0.0,0.0,0.0,True,4197.79,351
M10001,2024-05-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,100.29,0.0,0.0,0.0,True,890.79,296
M10001,2024-06-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,100.29,0.0,0.0,0.0,True,554.48,194
M10001,2024-07-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,100.29,0.0,0.0,0.0,True,215.94,72
M10001,2024-08-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,100.29,0.0,0.0,0.0,True,3637.44,325
M10001,2024-09-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,110.75,0.0,10.47,0.0,True,1017.55,180
M10001,2024-10-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,110.75,0.0,0.0,0.0,True,1511.4,208
M10001,2024-11-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,110.75,0.0,0.0,0.0,True,1187.51,115
M10001,2024/12/01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,110.75,0.0,0.0,0.0,True,1889.05,284
M10001,2025-01-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,110.75,0.0,0.0,0.0,True,2352.46,-1
M10002,2024-02-01,Retail,Amman,Pro,Bank Partner,37.66,91.01,91.01,0.0,0.0,True,8916.7,820
M10002,2024-03-01,Retail,Amman,Pro,Bank Partner,37.66,91.01,0.0,0.0,0.0,True,6951.16,-1
M10002,2024-04-01,Retail,Amman,Pro,Bank Partner,37.66,91.01,0.0,0.0,0.0,True,9180.42,760
M10002,2024-05-01,Retail,Amman,Pro,Bank Partner,3765.9999999999995,91.01,0.0,0.0,0.0,True,6273.5,616
M10002,2024-06-01,Retail,Amman,Pro,Bank Partner,37.66,152.16,0.0,61.15,0.0,True,1301.14,650
M10002,2024-07-01,Retail,Amman,Pro,Bank Partner,37.66,0.0,0.0,0.0,152.16,False,0.0,0
M10003,2024-02-01,Retail,Aqaba,Pro,Bank Partner,21.24,69.33,69.33,0.0,0.0,True,4883.1,799
M10003,2024-03-01,Retail,Aqaba,Pro,Bank Partner,21.24,69.33,0.0,0.0,0.0,True,3281.49,595
M10003,2024-04-01,Retail,Aqaba,Pro,Bank Partner,21.24,69.33,0.0,0.0,0.0,True,5584.57,731
M10003,2024-05-01,Retail,Aqaba,Pro,Bank Partner,21.24,69.33,0.0,0.0,0.0,True,10507.37,723
M10003,2024-06-01,Retail,Aqaba,Pro,Bank Partner,21.24,125.86,0.0,56.53,0.0,True,9901.33,888
M10003,2024-07-01,Retail,Aqaba,Pro,Bank Partner,21.24,143.38,0.0,17.52,0.0,True,5758.03,540
M10003,2024-08-01,Retail,Aqaba,Pro,Bank Partner,21.24,143.38,0.0,0.0,0.0,True,4171.02,710
M10003,2024-09-01,Retail,Aqaba,Pro,Bank Partner,21.24,143.38,0.0,0.0,0.0,True,7500.36,723
M10003,2024-10-01,Retail,Aqaba,Pro,Bank Partner,21.24,175.38,0.0,32.0,0.0,True,2862.03,360
