merchant_id,onboarding_month,month,merchant_industry,merchant_governorate,subscription_plan,acquisition_channel,customer_acquisition_cost,mrr,new_mrr,expansion_mrr,churned_mrr,active_status,total_payment_volume,transaction_count
MX-0322,2024-02-01,2024-02-01,Retail,Amman,Basic,Bank Partner,32.85,37.32,37.32,7.15,0.0,True,2636.96,682.0
MX-0154,2024-02-01,2024-11-01,Retail,Aqaba,Pro,Bank Partner,35.65,80.34,0.0,0.0,0.0,True,6209.45,805.0
MX-0066,2024-02-01,2025-01-01,Retail,Zarqa,Pro,Bank Partner,34.66,83.87,0.0,0.0,0.0,True,4573.04,633.0
MX-0295,2024-02-01,2024-08-01,F&B,Amman,Pro,Bank Partner,15.14,62.09,0.0,0.0,0.0,True,7499.46,752.0
MX-0378,2024-02-01,2024/05/01,F&B,Irbid,Basic,Sales Agent,87.34,36.56,0.0,0.0,0.0,True,7758.97,946.0
MX-0038,2024-02-01,2024-03-01,F&B,Amman,Pro,Sales Agent,49.07,111.92,0.0,0.0,0.0,True,3524.58,801.0
MX-0114,2024-02-01,2024-04-01,Hospitality,Amman,Basic,Bank Partner,37.35,64.04,0.0,38.74,0.0,True,2674.25,217.0
MX-0100,2024-02-01,2024-03-01,F&B,Amman,Basic,Online,35.84,18.18,0.0,0.0,0.0,True,10059.51,799.0
MX-0015,2024-02-01,2024-03-01,F&B,Amman,Pro,Bank Partner,28.31,89.35,0.0,0.0,0.0,True,6877.67,983.0
MX-0287,2024-02-01,2024-02-01,Retail,Zarqa,Basic,Sales Agent,98.29,39.8,39.8,0.0,0.0,True,6975.43,771.0
MX-0338,2024-02-01,2024-04-01,Retail,Amman,Pro,Bank Partner,24.23,0.0,0.0,0.0,99.88,False,0.0,0.0
MX-0454,2024-02-01,2024-04-01,Pharmacy,Mafraq,Pro,Sales Agent,60.84,104.01,0.0,0.0,0.0,True,4456.66,401.0
MX-0024,2024-02-01,2024-03-01,F&B,Jerash,Enterprise,Bank Partner,-20,489.38,0.0,0.0,0.0,True,1162658.0,946.0
MX-0405,2024-02-01,2024-07-01,F&B,Amman,Pro,Sales Agent,80.63,51.21,0.0,0.0,0.0,True,2435.82,986.0
MX-0382,2024-02-01,2024-05-01,Retail,Irbid,Basic,Online,-20,31.4,0.0,0.0,0.0,True,7143.03,689.0
MX-0113,2024-02-01,2024-09-01,Pharmacy,Zaqra,Basic,Sales Agent,51.05,92.23,0.0,0.0,0.0,True,1791.0,
MX-0221,2024-02-01,2024-10-01,Retail,Balqa,Enterprise,Bank Partner,32.59,451.74,0.0,0.0,0.0,True,10607.55,728.0
MX-0122,2024-02-01,2024-10-01,Hospitality,Amman,Enterprise,Bank Partner,27.63,328.02,0.0,0.0,0.0,True,1789.89,125.0
MX-0014,2024-02-01,2024-02-01,F&B,Jerash,Basic,Bank Partner,18.48,33.23,33.23,0.0,0.0,True,3819.59,777.0
MX-0251,2024-02-01,2024-03-01,F&B,Amman,Pro,Sales Agent,45.63,80.89,0.0,0.0,0.0,True,7871.85,707.0
MX-0395,2024-02-01,2024-02-01,F&B,Irbid,Basic,Sales Agent,93.41,16.79,16.79,0.0,0.0,True,3935.34,807.0
MX-0056,2024-02-01,2024-06-01,Pharmacy,Amman,Basic,Bank Partner,-20,39.91,0.0,0.0,0.0,True,2639.0,287.0
MX-0333,2024-02-01,2024-05-01,F&B,Amman,Basic,Sales Agent,76.23,15.48,0.0,0.0,0.0,True,7516.64,794.0
MX-0324,2024-02-01,2024-08-01,F&B,Amman,Basic,Sales Agent,58.56,34.91,0.0,0.0,0.0,True,3379.4,765.0
MX-0175,2024-02-01,2025-01-01,Retail,Amman,Pro,Sales Agent,53.63,114.02,0.0,0.0,0.0,True,9467.98,900.0
MX-0002,2024-02-01,2024-06-01,Pharmacy,Zarqa,Basic,Sales Agent,54.82,106.76,0.0,0.0,0.0,True,4673.73,402.0
MX-0327,2024-02-01,2024-08-01,Retail,Amman,Basic,Bank Partner,35.53,15.87,0.0,0.0,0.0,True,2072.37,705.0
MX-0011,2024-02-01,2024-02-01,F&B,Irbid,Basic,Online,21.34,30.56,30.56,0.0,0.0,True,4270.19,955.0
MX-0206,2024-02-01,2024-07-01,F&B,Ma'an,Pro,Bank Partner,37.95,171.26,0.0,0.0,0.0,True,3870.56,990.0
MX-0063,2024-02-01,2024-04-01,Hospitality,Amman,Pro,Sales Agent,88.38,116.88,0.0,0.0,0.0,True,2657.58,210.0
MX-0160,2024-02-01,2024-10-01,Retail,Zarqa,Basic,Bank Partner,33.72,25.51,0.0,0.0,0.0,True,2232.43,688.0
MX-0059,2024-02-01,2024-03-01,F&B,Aqaba,Basic,Online,46.04,34.58,0.0,0.0,0.0,True,12396.91,859.0
MX-0196,2024-02-01,2024-09-01,F&B,Irbid,Pro,Bank Partner,26.18,134.12,0.0,0.0,0.0,True,6800.98,652.0
MX-0066,2024-02-01,2024-05-01,Retail,Zarqa,Pro,Bank Partner,34.66,83.87,0.0,0.0,0.0,True,6746.54,568.0
MX-0227,2024-02-01,2024-06-01,Pharmacy,Amman,Basic,Sales Agent,58.08,28.1,0.0,0.0,0.0,True,879.88,332.0
MX-0474,2024-02-01,2025-01-01,Hospitality,Amman,Basic,Sales Agent,83.33,16.78,0.0,0.0,0.0,True,878.37,318.0
MX-0441,2024-02-01,2024-05-01,F&B,Amman,Enterprise,Bank Partner,28.84,256.01,0.0,0.0,0.0,True,9728.87,1056.0
MX-0123,2024-02-01,2024-08-01,F&B,Amman,Pro,Sales Agent,98.03,66.01,0.0,0.0,0.0,True,13898.93,1089.0
MX-0256,2024-02-01,2024-02-01,Retail,Aqaba,Basic,Online,42.87,0.0,25.42,0.0,25.42,False,0.0,0.0
MX-0235,2024-02-01,2024-10-01,F&B,Amman,Pro,Bank Partner,50JOD,206.69,0.0,0.0,0.0,True,10002.48,
MX-0231,2024-02-01,2025-01-01,Hospitality,Amman,Pro,Bank Partner,33.58,89.39,0.0,0.0,0.0,True,2990.12,295.0
MX-0444,2024-02-01,2024-07-01,F&B,Madaba,Basic,Sales Agent,90.02,30.2,0.0,0.0,0.0,True,11696.43,809.0
MX-0040,2024-02-01,2024-06-01,Retail,Amman,Basic,Sales Agent,55.06,67.34,0.0,0.0,0.0,True,2618.21,906.0
MX-0300,2024-02-01,2024-05-01,F&B,Mafraq,Pro,Bank Partner,23.47,0.0,0.0,76.88,0.0,True,9842.16,1081.0
MX-0425,2024-02-01,2024-11-01,F&B,Amman,Enterprise,Sales Agent,57.35,559.05,0.0,0.0,0.0,True,2905.48,943.0
MX-0215,2024-02-01,2024-03-01,Retail,Amman,Pro,Bank Partner,33.17,0.0,0.0,0.0,0.0,True,3696.1,539.0
MX-0165,2024-02-01,2024-02-01,F&B,Amman,Basic,Online,38.85,22.59,22.59,0.0,0.0,True,6824.93,763.0
MX-0096,2024-02-01,2024-08-01,Retail,Zarqa,Basic,Sales Agent,87.57,112.22,0.0,75.24,0.0,True,7804.06,626.0
MX-0005,2024-02-01,2024-08-01,F&B,Irbid,Pro,Bank Partner,21.8,86.85,0.0,0.0,0.0,True,5345.96,910.0
MX-0184,2024-02-01,2024-11-01,Hospitality,Irbid,Enterprise,Online,32.16,612.09,0.0,47.36,0.0,True,1957.58,316.0
